Year,Tournament_link
1970,https://www.atptour.com/en/scores/archive/masters-doubles/602/1970/draw
1970,https://www.atptour.com/en/scores/archive/adelaide/7308/1970/draw
1970,https://www.atptour.com/en/scores/archive/new-orleans/9278/1970/draw
1971,https://www.atptour.com/en/scores/archive/fort-lauderdale/9878/1971/draw
1971,https://www.atptour.com/en/scores/archive/melbourne/3936/1971/draw
1971,https://www.atptour.com/en/scores/archive/omaha/2036/1971/draw
1971,https://www.atptour.com/en/scores/archive/richmond/802/1971/draw
1971,https://www.atptour.com/en/scores/archive/washington-1/9211/1971/draw
1971,https://www.atptour.com/en/scores/archive/philadelphia/401/1971/draw
1971,https://www.atptour.com/en/scores/archive/new-york/2058/1971/draw
1971,https://www.atptour.com/en/scores/archive/salisbury/355/1971/draw
1971,https://www.atptour.com/en/scores/archive/macon/2066/1971/draw
1971,https://www.atptour.com/en/scores/archive/east-london/262/1971/draw
1971,https://www.atptour.com/en/scores/archive/szczecin/657/1971/draw
1971,https://www.atptour.com/en/scores/archive/auckland/301/1971/draw
1971,https://www.atptour.com/en/scores/archive/australian-open/580/1971/draw
1971,https://www.atptour.com/en/scores/archive/caracas/344/1971/draw
1971,https://www.atptour.com/en/scores/archive/tennis-champions-classic/9289/1971/draw
1971,https://www.atptour.com/en/scores/archive/chicago/818/1971/draw
1971,https://www.atptour.com/en/scores/archive/pensacola/9237/1971/draw
1971,https://www.atptour.com/en/scores/archive/san-juan/6817/1971/draw
1971,https://www.atptour.com/en/scores/archive/north-miami-beach/681/1971/draw
1971,https://www.atptour.com/en/scores/archive/nice/6120/1971/draw
1971,https://www.atptour.com/en/scores/archive/durban/260/1971/draw
1971,https://www.atptour.com/en/scores/archive/sao-paulo/426/1971/draw
1971,https://www.atptour.com/en/scores/archive/monte-carlo/410/1971/draw
1971,https://www.atptour.com/en/scores/archive/st-petersburg/6818/1971/draw
1971,https://www.atptour.com/en/scores/archive/des-moines/2061/1971/draw
1971,https://www.atptour.com/en/scores/archive/bermuda/436/1971/draw
1971,https://www.atptour.com/en/scores/archive/palermo/325/1971/draw
1971,https://www.atptour.com/en/scores/archive/jacksonville/2047/1971/draw
1971,https://www.atptour.com/en/scores/archive/houston/405/1971/draw
1971,https://www.atptour.com/en/scores/archive/catania/2065/1971/draw
1971,https://www.atptour.com/en/scores/archive/denver/389/1971/draw
1971,https://www.atptour.com/en/scores/archive/wct-aetna-world-cup/9205/1971/draw
1971,https://www.atptour.com/en/scores/archive/dallas/388/1971/draw
1971,https://www.atptour.com/en/scores/archive/paris/2010/1971/draw
1971,https://www.atptour.com/en/scores/archive/kansas-city/9238/1971/draw
1971,https://www.atptour.com/en/scores/archive/rome/416/1971/draw
1971,https://www.atptour.com/en/scores/archive/madrid/2026/1971/draw
1971,https://www.atptour.com/en/scores/archive/tehran/2011/1971/draw
1971,https://www.atptour.com/en/scores/archive/bournemouth/347/1971/draw
1971,https://www.atptour.com/en/scores/archive/brussels/406/1971/draw
1971,https://www.atptour.com/en/scores/archive/hamburg/414/1971/draw
1971,https://www.atptour.com/en/scores/archive/roland-garros/520/1971/draw
1971,https://www.atptour.com/en/scores/archive/berlin/9240/1971/draw
1971,https://www.atptour.com/en/scores/archive/manchester/583/1971/draw
1971,https://www.atptour.com/en/scores/archive/bristol/313/1971/draw
1971,https://www.atptour.com/en/scores/archive/manchester/7310/1971/draw
1971,https://www.atptour.com/en/scores/archive/eastbourne/2049/1971/draw
1971,https://www.atptour.com/en/scores/archive/london/311/1971/draw
1971,https://www.atptour.com/en/scores/archive/wimbledon/540/1971/draw
1971,https://www.atptour.com/en/scores/archive/bastad/316/1971/draw
1971,https://www.atptour.com/en/scores/archive/gstaad/314/1971/draw
1971,https://www.atptour.com/en/scores/archive/newport/2050/1971/draw
